Nanopore,Region_MA-MM-CR,Length_3way,Diff_MA-MA,Diff_CR-CR,Diff_MM-MM,Region_MA-MM,Length_MA-MM,Diff_MA-MA,Diff_MM-MM,Region_MA-CR,Length_MA-CR,Diff_MA-MA,Diff_CR_CR,Region_MM-CR,Length_MM-CR,Diff_MM-MM,Diff_CR-CR
0ba337f4-8917-4935-b4e4-b1c6b28e6b19,,,,,,,,,,,,,,48,9269,177,142
76d2ef45-e08f-4a77-b0c6-842312430981,253,11706,146,152,1,,,,,327,9736,131,136,560,9758,1,143
fbc172f0-9ac9-4814-8366-ad694dcef4a7,,,,,,,,,,,,,,1173,8351,7,143
dfc958c1-bd00-46b2-a99b-b11b5be316e7,457,6287,112,124,44,,,,,592,4292,80,82,1027,7628,63,143
05d1ade2-64b8-4919-9541-b550688d6095,,,,,,,,,,,,,,20,7947,71,143
e81bce02-c231-4853-a7bf-2246e7db795d,481,11860,416,149,244,898,9874,370,202,623,10037,384,143,1074,9907,208,143
5c4045ca-99d3-4b06-810f-2072b4dbe39f,201,10462,193,176,77,378,8673,160,58,255,8735,161,149,432,8744,57,144
7873de23-8f51-4cf7-ba6b-26cc61370d15,256,10706,182,174,84,487,8766,160,81,,,,,569,8753,80,144
417a1999-ff29-49f2-94bd-8c20a11c7ccc,141,9510,215,144,139,255,7550,190,109,178,7531,188,130,299,10460,161,145
11f74d56-12ab-448c-8b56-dc48974b8265,,,,,,,,,,,,,,80,9507,55,146
c587cdd0-06bd-4f7f-969c-a4bca32c69dc,397,11106,109,160,68,756,9278,100,68,518,9741,113,145,905,9210,62,146
e6813292-566d-4b47-b210-90d6e0cbbc6a,,,,,,,,,,,,,,1067,12199,233,146
98a90157-c6da-4771-b202-dcb525277ae4,,,,,,,,,,400,12307,207,225,700,8278,14,147
9cbb3bad-3959-4a18-92c9-b57604e4e7de,312,12618,160,168,49,609,12850,179,53,409,10657,130,138,723,10640,44,147
9c3835b3-ec7e-4edc-b400-7e84ab2e0bb7,,,,,,,,,,,,,,720,7592,61,147
13dc905f-480d-4ee1-90fe-31d4189f8f3a,44,14183,202,192,98,80,12234,157,88,,,,,88,12220,87,147
5307974d-c449-4abf-8606-b766f91cd037,174,11701,160,157,71,329,11077,161,74,223,9719,145,142,373,9738,73,148
61e98b0a-16c6-4023-a985-6ad665f3b211,,,,,,,,,,,,,,460,10467,33,149
fc09d1bf-ac15-4b9f-acc5-09a9bf7c3b62,,,,,,,,,,,,,,1174,7156,69,149
12062a39-ff29-40ea-966f-a21cfc2f9f28,38,13192,181,171,93,74,11237,140,80,53,11747,151,147,81,11256,81,149
deeecad1-dbb8-4122-93f0-e5a40e5002b3,,,,,,,,,,,,,,1022,9868,69,150
cbf74dfc-a9df-4c81-be3e-2dc369da23f6,413,11643,179,173,93,783,9707,155,103,538,9748,159,144,932,9700,81,150
93873f08-956f-4d50-89f2-9f050351558a,,,,,,,,,,,,,,674,7711,0,151
734b65a9-af83-4cdb-bc55-5ebdafe8614a,,,,,,,,,,,,,,535,7805,60,151
76f4edc1-ebc8-4b40-a252-b2005bb5541f,,,,,,,,,,,,,,561,9721,64,151
a5207efc-ce43-4f1c-80cb-2ba494d8a806,,,,,,,,,,,,,,763,12078,42,152
b55721c8-7fc6-4ad0-ad01-e8bfac13c8aa,,,,,,,,,,,,,,834,14196,48,152
c1566e54-c3e4-4333-b09e-81e4d5d710bb,,,,,,,,,,,,,,884,9076,75,152
65a1e8a4-df70-4ac1-9c44-afb4868056af,,,,,,,,,,,,,,480,10203,111,152
975483b8-e69a-46b4-a1ca-7a5f23d39bff,,,,,,,,,,,,,,694,10238,65,154
9ac921ca-4e80-4e74-806e-beeb63ab7da1,,,,,,,,,,,,,,712,10497,50,155
c3b84f6c-dee7-416d-b51e-ecf7ed671bca,,,,,,,,,,,,,,896,9636,216,155
48b2de2f-34e7-45c4-b1fc-bdb11e5ac838,,,,,,,,,,,,,,333,9128,77,156
6cbb826c-7312-44ce-ba5b-58a2c7292ac1,,,,,,,,,,,,,,509,9248,79,156
d23ce841-5a14-4aa5-afd5-827e49d475fe,,,,,,,,,,,,,,966,15590,0,157
0ff3a373-1af6-4cc4-b10c-a4f044df3693,34,9687,165,157,66,63,11197,203,80,47,7703,117,116,68,7759,50,157
1e832917-aaa2-47fb-9787-82e0d0d17e2c,70,12972,187,200,78,123,11498,157,59,92,11009,138,155,147,11004,56,157
b8897b49-02fc-445b-9702-75bc20cf3182,,,,,,,,,,,,,,849,7587,61,157
60daf0e1-a849-4992-9560-4e8e217a82dd,,,,,,,,,,,,,,454,8469,47,158
195c4490-33fa-44ca-9c22-21e92c9d6a97,55,13812,170,174,53,98,11839,153,51,75,11836,150,154,119,11850,51,158
856546ad-f4ee-43e1-93ad-a16a83b539cd,,,,,,,,,,,,,,620,11687,74,158
c4654127-8a7c-4c7c-8c3c-36a05c4a24fa,,,,,,,,,,,,,,900,8722,0,159
2edff890-805f-4f9c-8129-17261cc4da04,,,,,,,,,,,,,,219,9624,24,159
ce37f55b-6acd-41d1-99ad-100a0664b065,417,10057,179,184,67,788,9543,170,67,543,8108,149,159,942,8165,47,159
5a149d76-a228-4e3b-b0d6-2d0d6b4b91c9,,,,,,,,,,,,,,419,10035,77,159
f7c46c5b-5b42-4836-a859-051a5c66dbcf,511,15769,179,184,59,956,13887,150,54,662,13855,151,160,1154,13837,53,160
8b0daf10-7417-48c9-b5c6-f14cc329c9c1,,,,,,,,,,,,,,637,8889,0,161
db6b6c80-4c6a-4091-9215-a45dee0a0719,,,,,,,,,,,,,,1005,9883,56,162
9df47cb5-ed53-4ef3-b370-aafbf179efb3,315,14756,168,177,57,615,13320,149,56,413,13334,143,152,730,14006,56,162
c66c0e07-ce16-4ac6-83f9-d218f7011715,398,9683,162,170,79,758,8528,148,76,520,8721,133,147,906,8546,79,162
37a4ca10-e018-40c7-a6a4-b710035bc82d,,,,,,,,,,,,,,253,11114,79,162
7abf27a0-b8c0-481a-bb86-15b3ffa2e4c0,,,,,,,,,,,,,,576,13040,33,163
11eb8b6d-b1ea-48f5-91c9-91c9f0e291cf,37,16712,190,185,98,73,14785,175,97,52,14754,169,162,79,14870,96,163
4e6dac87-37da-4133-9c2f-154725fc8768,,,,,,,,,,,,,,359,8294,97,163
69ce7218-ab63-42d5-92c2-36ab59aa299d,,,,,,,,,,,,,,499,17242,134,164
671b1af4-babe-4e81-9c24-5aab1346884b,224,12473,210,195,159,427,10709,183,140,285,23565,276,429,486,10588,136,164
4224adb8-832f-483a-93dd-362105cd7571,142,10087,177,182,102,257,18124,350,194,,,,,303,8115,86,165
ab87f6f2-1f07-46aa-b988-c58f909e653e,,,,,,,,,,,,,,792,10318,93,165
21f80d11-d227-4406-a1ba-d39671b7a306,,,,,,,,,,,,,,164,14788,44,166
25b622a1-603d-494e-83c3-bb1f339301b6,86,12347,186,181,99,145,10426,156,74,108,10396,160,163,180,10406,73,166
3948d8d0-2509-4fcd-af7c-24f1c7a993c6,125,10022,186,219,98,224,8039,141,86,160,8916,165,187,261,8031,85,166
36b2644e-b617-4bd2-a704-7010fe9c68ea,,,,,,,,,,152,11325,147,155,250,11358,94,166
75c14ae0-03b1-4557-84d5-1a56818cd59e,249,11825,171,156,102,476,13434,228,132,323,10596,156,140,550,11963,108,166
86c1bfe9-4b2b-49ac-97ed-c5203647499d,277,10843,185,183,73,539,8856,164,62,364,8908,170,174,626,9061,62,167
a2774d07-5504-4202-9c29-cad08ea7db13,,,,,,,,,,,,,,755,11612,74,167
47991887-a7e5-4975-9b32-8844619cde6c,,,,,,,,,,,,,,326,7360,84,167
09387c0f-113c-4655-94f0-ef53dcdd9b34,,,,,,,,,,,,,,32,15605,185,167
ab727945-2de4-4773-a254-cc7303ffb972,,,,,,,,,,451,12893,156,159,791,12626,62,168
2243e86a-577f-4173-b64c-eb2a152075aa,79,13694,180,180,91,,,,,101,11708,167,159,168,11812,85,168
ac1d3e51-df23-4fb2-9045-c49a6f7b814f,,,,,,,,,,,,,,796,11133,91,168
9a7d3824-84bd-4735-9254-dafc7f05dedd,308,13935,102,195,81,602,11974,92,77,405,11957,90,167,710,11959,72,169
5de82e86-5e2d-4c37-9916-2f722d959707,205,6020,104,96,14,,,,,259,4650,79,64,441,8720,10,170
e38df7d8-f9eb-400e-b61c-b13912de7c61,467,13327,83,179,61,873,11487,76,56,606,11437,73,192,1052,11412,53,170
f5f82a35-7438-47ac-a669-26ed784d44bf,,,,,,,,,,,,,,1147,8005,64,170
dcbc9dfb-b0f9-4de6-8288-dd277a422380,,,,,,,,,,,,,,1011,9234,64,170
40bd5aa2-cc7a-4942-897e-e524a01985b5,,,,,,,,,,,,,,296,11939,82,170
3b1f4dd4-222c-4497-8238-8df31d1da087,,,,,,,,,,,,,,265,12005,94,170
21f3d7d2-3dd5-4b78-bac6-c5e320a58061,76,8820,209,229,140,134,7469,146,92,98,7467,150,163,162,7575,97,171
81466220-05dc-4cff-85b5-6c023ab97018,,,,,,,,,,,,,,597,9847,119,171
930e04c0-bc2e-4675-ad7a-953a5c317819,,,,,,,,,,,,,,672,10656,87,172
6c4a69b4-7afb-4105-a6e1-cbb08fce2427,231,10881,4,196,116,445,8940,1,108,295,13446,25,242,507,8944,97,173
b2d6a90f-7794-4df6-8895-99e21080e024,361,10100,145,208,144,689,11274,138,133,470,8633,110,171,820,8137,112,173
81527121-2ce8-4600-83c1-9a3f70ffe085,,,,,,,,,,,,,,600,16771,157,173
790d3f9a-006f-4d5a-a5f3-446f7037a1a0,257,9720,195,202,123,490,13127,304,183,333,7728,158,163,571,7781,111,174
9e0aedad-8446-4d29-b5b2-a70b2d1465b8,316,14582,195,184,89,616,12816,196,81,414,12667,179,170,732,13282,83,176
3cca5ab0-b2cd-4832-98cc-87c46ac55365,,,,,,,,,,,,,,275,10378,98,176
4780b51d-a0bc-41a2-8eb0-3ccad868b91c,154,9382,126,157,24,275,7522,129,22,196,7416,121,171,325,7728,19,177
b6b61778-55d2-4696-9cae-cef9a580a9c2,,,,,,,,,,,,,,839,15866,79,177
5688bfec-32d2-49cb-9452-89ef95e8f64e,,,,,,,,,,,,,,401,10379,92,178
2e47a14b-f19d-42bf-af3c-6b6e7076798d,103,10425,139,222,143,174,9351,121,117,134,8450,121,187,216,8431,114,178
9e1ea675-f1d1-4dad-a427-f981e9da15fa,,,,,,,,,,,,,,733,7857,12,179
8afab310-ad8a-4889-8c18-1f633952f6eb,280,9542,111,146,76,550,10502,122,71,369,7663,107,161,635,7683,67,179
759d1575-b1bc-424f-a915-e12b5b87940e,248,12426,229,209,84,475,10473,216,73,322,10446,204,180,549,10449,69,180
e6e99ed2-f822-4f9a-ad09-d0fd52517f40,,,,,,,,,,,,,,1070,6438,113,180
fe96dff4-dd85-460b-8d12-5c2864e44533,,,,,,,,,,,,,,1187,7887,79,181
980c5d8c-9778-4a94-8477-557a54f2d29d,302,11498,220,224,115,593,9614,177,76,397,9543,172,167,697,9537,74,182
b466ce1e-d5a5-4b96-a72f-8bea71994e80,,,,,,,,,,,,,,828,8675,76,182
9bb00e90-95e1-4202-8546-0e293ff34ffb,,,,,,,,,,,,,,716,8885,80,182
b68418c1-9742-4531-a576-d02908916d13,,,,,,,,,,,,,,836,8788,99,182
ffd35627-be3e-4775-bdef-29dc64ffb93e,530,13427,216,190,33,987,11517,207,27,686,11525,197,167,1193,11540,26,183
ade4abcb-1037-4108-bbf5-e506071e8692,,,,,,,,,,,,,,801,10376,63,183
19a7ecb0-a589-4894-9c1d-8692fc6b1411,,,,,,,,,,,,,,124,11046,86,183
3c24d84b-b82e-4730-864d-3516e2c2da33,,,,,,,,,,,,,,270,10875,121,183
9501cae0-a036-4891-b91f-aea8f281aecd,,,,,,,,,,,,,,682,8363,124,183
c2fc55eb-1295-4790-bdcd-7677975682a3,,,,,,,,,,,,,,892,9698,48,184
e2808e69-43e8-4b65-a6d6-b1ee105c763a,464,14277,228,218,68,867,12281,191,62,602,12281,191,184,1044,12290,60,184
11691d81-ee69-40cf-9e87-33cb8b1c5939,,,,,,,,,,,,,,76,8695,39,185
d0d81853-c414-44f1-8c0a-9d6d9715fd1e,,,,,,,,,,,,,,961,12126,83,185
3901f9c0-68d8-4433-887b-13a7fa18334c,123,11847,211,211,153,221,9915,195,132,158,13012,209,268,259,9893,141,185
2f6758b1-5320-489d-968d-9f35530f6ee1,,,,,,,,,,,,,,222,10036,86,186
ec751978-0dd1-476e-bbfa-bd3ecaf410bf,,,,,,,,,,,,,,1093,9117,116,186
90779e9e-430f-41ec-babe-92dc6028b983,,,,,,,,,,,,,,662,8336,80,188
fd1139d0-7d4c-451b-b048-f0dc91c0f4d6,524,14371,204,213,118,978,12396,181,103,678,12387,179,187,1181,12386,102,188
90f48d63-4152-4287-979d-feebcea0d3c9,,,,,,,,,,,,,,665,12663,92,189
096381ec-054f-46da-ba04-019d13749a0a,,,,,,,,,,,,,,35,8520,0,190
